building_code,id,name,category,description,system,location,area_sqft,capacity_theater,capacity_banquet,capacity_classroom,capacity_reception,capacity_boardroom,capacity_circle,capacity_u_shape,capacity_hollow_square,capacity_max_standalone,max_capacity,type,rate_rso,rate_department,rate_external,rso_free,managed_by,equipment,booking_method,contact,notes,tags,cssa_recommended
FIELDS,multipurpose-fields-ecra-muir-marshall-warren-ncra,Multipurpose Fields (ECRA/Muir/Marshall/ Warren/NCRA),Recreation Facilities,校园各处户外运动场，适合大型户外活动/运动会/团建。可划线(足球/橄榄球/曲棍球)。含灯光选项。,recreation,校园各处,,,,,,,,,,,,户外运动草坪,需联系确认,"1 Field: $100/h | (UCSD: $50/h) | Full NCRA(4 fields): | $400/h → $4,800 Full Day",Off-campus 全价,False,Recreation,可划线+球门 | 灯光 $75/h,EMS Cloud,sportsfac@ucsd.edu,Muir Field 人工草皮,,False
MWEIS,mandell-weiss-theatre,Mandell Weiss Theatre,Theatre & Dance Department,UCSD 与 La Jolla Playhouse 共享的主剧场。传统镜框式舞台(Proscenium)，约500座。专业演出级灯光音响。排期极其紧张，需与 La Jolla Playhouse 协调。,theatre-dance,"Mandell Weiss Center
(La Jolla Playhouse 区域
Revelle 附近)",,,,,,,,,,500,500,Proscenium Theatre,需与部门协商,需与部门协商,需与部门协商,False,Theatre & Dance | + La Jolla Playhouse,专业演出灯光+音响,部门办公室 | GH 202,theatre.ucsd.edu,与 La Jolla Playhouse 共享；排期极紧,,False
MWEIS,mandell-weiss-forum,Mandell Weiss Forum,Theatre & Dance Department,Mandell Weiss Center 内的 Forum 剧场，灵活配置空间。适合实验性演出和小型制作。,theatre-dance,Mandell Weiss Center,,,,,,,,,,,,Forum Theatre,需协商,需协商,需协商,False,Theatre & Dance,舞台灯光+音响,部门办公室,theatre.ucsd.edu,,职业宣讲会,True
POTKR,sheila-hughes-potiker-theatre,Sheila & Hughes Potiker Theatre,Theatre & Dance Department,417座黑盒剧场，空间高度灵活可重新配置。与 La Jolla Playhouse 共享。配有工作间和办公室。适合实验戏剧/沉浸式演出/非传统配置演出。,theatre-dance,La Jolla Playhouse 区域,,,,,,,,,,417,417,Black Box Theatre,需协商,需协商,需协商,False,Theatre & Dance | + La Jolla Playhouse,可配置灯光+音响 | 附属工作间,部门办公室,theatre.ucsd.edu,灵活黑盒；417座,,False
GH,arthur-wagner-theatre,Arthur Wagner Theatre,Theatre & Dance Department,Galbraith Hall 内的实验剧场，Department of Theatre & Dance 的教学/实验演出主场地。,theatre-dance,Galbraith Hall,,,,,,,,,,,,实验剧场,需协商,需协商,需协商,False,Theatre & Dance,基本灯光+音响,部门办公室,theatre.ucsd.edu,在 Galbraith Hall 内,,False
DANCE,dance-studio-3,Dance Studio 3,Theatre & Dance Department,Wagner Dance Building 内的舞蹈工作室，弹簧地板、自然采光、淋浴/更衣室。适合舞蹈排练/小型舞蹈演出。,theatre-dance,Wagner Dance Building,,,,,,,,,,,,Dance Studio,需协商,需协商,需协商,False,Theatre & Dance,弹簧地板 | 自然采光 | 淋浴/更衣室,部门办公室,theatre.ucsd.edu,3间 studio，均有弹簧地板,,False
SHANK,theodore-adele-shank-theatre,Theodore & Adele Shank Theatre,Theatre & Dance Department,Theatre & Dance 部门剧场之一。,theatre-dance,待确认,,,,,,,,,,,,Theatre,需协商,需协商,需协商,False,Theatre & Dance,待确认,部门办公室,theatre.ucsd.edu,,,False
SSC,multipurpose-room,Multipurpose Room,University Centers — Student Center,"Student Center 多功能厅(3,828sqft)，大型灵活空间。适合博览会/大型会议/招聘会。",university-centers,Student Services Center,3828,242,162,60,259,,,,,,259,多功能厅,免费,需联系确认,需联系确认,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,SSC 最大室内空间,,False
SSC,ssc-conference-room-260,SSC Conference Room 260,University Centers — Student Services Center,Student Services Center 会议室，固定家具布局，Hollow Square 配置可容纳16人。,university-centers,"Student Services Center, Room 260",450,,,,,,,,16,,16,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
SSC,ssc-conference-room-300,SSC Conference Room 300,University Centers — Student Services Center,Student Services Center 会议室，固定家具布局，Hollow Square 配置可容纳18人。,university-centers,"Student Services Center, Room 300",600,,,,,,,,18,,18,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
SSC,ssc-conference-room-350,SSC Conference Room 350,University Centers — Student Services Center,Student Services Center 小型会议室，固定家具布局，Hollow Square 配置可容纳12人。,university-centers,"Student Services Center, Room 350",400,,,,,,,,12,,12,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
SSC,ssc-conference-room-400,SSC Conference Room 400,University Centers — Student Services Center,Student Services Center 会议室，固定家具布局，Hollow Square 配置可容纳18人。,university-centers,"Student Services Center, Room 400",600,,,,,,,,18,,18,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
SSC,ssc-conference-room-450,SSC Conference Room 450,University Centers — Student Services Center,Student Services Center 小型会议室，固定家具布局，Hollow Square 配置可容纳12人。,university-centers,"Student Services Center, Room 450",375,,,,,,,,12,,12,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
SSC,ssc-conference-room-554,SSC Conference Room 554,University Centers — Student Services Center,Student Services Center 会议室，固定家具布局，Hollow Square 配置可容纳16人。SSC最大会议室。,university-centers,"Student Services Center, Room 554",650,,,,,,,,16,,16,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee；SSC最大会议室,,False
SSC,ssc-conference-room-554a,SSC Conference Room 554A,University Centers — Student Services Center,Student Services Center 最小会议室，固定家具布局，Hollow Square 配置可容纳11人。,university-centers,"Student Services Center, Room 554A",400,,,,,,,,11,,11,Conference Room,免费,需联系确认,需联系确认,True,University Centers,无内置设备 | 可申请便携投影仪,T-RES,reservations@ucsd.edu,固定家具；移动家具需付$50 reset fee,,False
